"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "cladeDiv_mean" "noncladeDiv_mean" "factor" "incDec" "tree"
"216" 6045 209 "Suncus_hosei_SORICIDAE_EULIPOTYPHLA" "Suncus_dayi_SORICIDAE_EULIPOTYPHLA" 5702 0.249503967539509 0.140550007722131 1.7751971101473 "upShift" 5
"222" 8141 212 "Muntiacus_atherodes_CERVIDAE_CETARTIODACTYLA" "Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA" 5699 0.242421408768372 0.140520902748823 1.72516262012416 "upShift" 5
"231" 10993 106 "Srilankamys_ohiensis_MURIDAE_RODENTIA" "Rattus_exulans_MURIDAE_RODENTIA" 5805 0.307082845365094 0.141364465340637 2.17227748589532 "upShift" 5
"241" 6730 64 "Pteropus_lombocensis_PTEROPODIDAE_CHIROPTERA" "Pteropus_pilosus_PTEROPODIDAE_CHIROPTERA" 5847 0.421731587356784 0.141876362993215 2.97252888683757 "upShift" 5
"251" 9485 64 "Ctenomys_tuconax_CTENOMYIDAE_RODENTIA" "Ctenomys_boliviensis_CTENOMYIDAE_RODENTIA" 5847 0.567450881100732 0.141674545255465 4.00531288155903 "upShift" 5
"261" 11716 66 "Macropus_giganteus_MACROPODIDAE_DIPROTODONTIA" "Onychogalea_fraenata_MACROPODIDAE_DIPROTODONTIA" 5845 0.354024038387215 0.141921531150128 2.49450548847814 "upShift" 5
"271" 6648 15 "Hypsignathus_monstrosus_PTEROPODIDAE_CHIROPTERA" "Epomops_franqueti_PTEROPODIDAE_CHIROPTERA" 5896 0.162229232878525 0.14284961715594 1.13566445684925 "upShift" 5
"281" 3847 1 "Neodon_leucurus_CRICETIDAE_RODENTIA" "Neodon_leucurus_CRICETIDAE_RODENTIA" 5910 0.201145403195146 0.142859214897988 1.40799740036916 "upShift" 5
"291" 2492 1 "Daubentonia_madagascariensis_DAUBENTONIIDAE_PRIMATES" "Daubentonia_madagascariensis_DAUBENTONIIDAE_PRIMATES" 5910 0.057583268612155 0.142982864169858 0.402728459430974 "downShift" 5
"118" 5918 5544 "Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA" "Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA" 367 0.139344016260175 0.136673253218217 1.01954122682435 "upShift" 6
"217" 6412 678 "Hippidion_saldiasi_EQUIDAE_PERISSODACTYLA" "Phataginus_tricuspis_MANIDAE_PHOLIDOTA" 5233 0.128360307922334 0.140234531376635 0.915325966167276 "downShift" 6
"35" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.152631782968167 0.138258098407631 1.10396269532189 "upShift" 6
