generation,N_shifts,logPrior,logLik,eventRate,acceptRate
537000,17,79.9261,-15818.1,5.48917,0.307
538000,16,74.5246,-15820.7,7.19768,0.256
539000,17,91.6775,-15869.1,8.07938,0.3192
540000,17,83.7122,-15880,7.51855,0.325
541000,19,83.1356,-15829.2,11.509,0.264333
542000,19,82.3018,-15814.4,9.00904,0.279
543000,22,101.391,-15822.4,9.54696,0.304
544000,23,109.706,-15808.8,8.55433,0.312
545000,25,116.856,-15810.5,14.0109,0.3
546000,22,106.248,-15806.5,12.6888,0.326
547000,21,101.071,-15810.5,9.79075,0.338
548000,22,100.134,-15814.4,10.7347,0.34
549000,19,91.9934,-15817.4,5.84358,0.329
550000,19,78.5417,-15807.7,12.1018,0.322
551000,20,93.2814,-15819.1,9.36112,0.303
552000,19,82.4157,-15813.5,13.3265,0.317
553000,20,87.2984,-15808.8,6.93753,0.326
554000,16,79.3736,-15870.8,7.668,0.331214
555000,16,74.7331,-15871,9.73159,0.327
